suburb,median_price,annual_change_pct
Abbotsford,1283800,-0.5
Aberfeldie,1621000,2.6
Aintree,740500,-2.2
Aireys Inlet,1587500,-9.9
Airport West,975000,11.6
Albanvale,638000,6.3
Albert Park,2340000,-0.3
Albion,765000,-9.1
Alexandra,471000,-29.7
Alfredton,660000,4.8
Alphington,1900000,-14.7
Altona,1100000,2.8
Altona East,846000,-23.9
Altona Meadows,735000,5.8
Altona North,870000,-5.4
Anglesea,1482500,-19.9
Apollo Bay,998800,0.4
Ararat,385000,4.1
Ardeer,605000,-14.8
Armadale,2484000,-9.2
Armstrong Creek,670000,-0.7
Ascot (Greater Bendigo),622000,9.1
Ascot Vale,1300500,-12.1
Ashburton,2205500,20.2
Ashwood,1483000,-9.6
Aspendale,1395000,-0.4
Aspendale Gardens,1075000,-4
Attwood,1077500,-9.8
Avenel,575000,-6.8
Avoca,400000,14.3
Avondale Heights,915000,-4.7
Axedale,410000,
Bacchus Marsh,625000,-6
Badger Creek,685000,-9.3
Bairnsdale,435000,-4.4
Balaclava,1432500,-6.8
Balcombe,1647500,-15.7
Ballan,630000,-8
Ballarat Central,615000,-6.8
Ballarat East,485000,1.6
Ballarat North,571800,-11.4
Balnarring,1275000,-3.4
Balwyn,2909000,1.6
Balwyn North,2450500,4.7
Bannockburn,752500,4.2
Baranduda,620000,-5.3
Barwon Heads,1727500,4.2
Baxter,646300,-1.3
Bayswater,911500,8.5
Bayswater North,822500,-3.2
Beaconsfield,1010000,0.2
Beaconsfield Upper,1359000,3
Beaufort,488000,22.8
Beaumaris,2155000,9.1
Beechworth,740500,7.7
Belgrave,821000,-5.4
Bell Park,630000,0
Bell Post Hill,611500,-6.6
Bellbridge,565000,-41.1
Bellfield (Banyule),950000,-15.9
Belmont,670000,-2.5
Benalla,435000,-8.4
Bendigo,600000,-15.1
Bentleigh,1687500,-3.8
Bentleigh East,1427000,0.1
Berwick,890000,8.2
Beveridge,656500,3.8
Birchip,191500,
Birregurra,782500,-2.5
Bittern,902500,12.4
Black Hill,565000,8.7
Black Rock,2265000,1.1
Blackburn,1600300,13.1
Blackburn North,1249300,4.1
Blackburn South,1401500,15
Blairgowrie,1541500,-4.6
Blind Bight,695000,8.9
Bonbeach,1227500,24.1
Bonnie Brook,682500,5
Bonnie Doon,720000,4.3
Bonshaw,560000,3.2
Boort,225000,1.7
Boronia,831000,5.2
Botanic Ridge,918800,0.7
Box Hill,1758000,9.3
Box Hill North,1411000,6.9
Box Hill South,1542000,4.2
Braybrook,757500,1
Breakwater,550000,-5.6
Briar Hill,1001000,2.1
Bright,1125000,-16.7
Brighton,3115000,-4.2
Brighton East,2230000,1
Broadford,571300,12
Broadmeadows,590000,5.4
Brookfield,562000,2.2
Brown Hill,820000,40.2
Brunswick,1274000,-2
Brunswick East,1428000,12
Brunswick West,1446000,9.1
Bruthen,552500,27.7
Bulleen,1457500,4.1
Bundalong,968000,-14
Bundoora,869000,5.3
Buninyong,687500,5.8
Bunyip,890000,12.3
Burnley,1915000,33.7
Burnside,705000,-1.4
Burnside Heights,700000,-10.3
Burwood,1572500,24
Burwood East,1243500,3.6
Cairnlea,925000,1.4
California Gully,482000,4.8
Camberwell,2700500,-0.7
Campbellfield,617500,2.9
Campbells Creek,745000,7.2
Camperdown,420000,7.1
Canadian,598500,2.3
Canterbury,3550000,1.5
Cape Paterson,745000,23.9
Capel Sound,720000,-5.8
Cardigan,1114000,34.2
Carisbrook,422500,-15.5
Carlton,1359400,23.2
Carlton North,1415000,-9.3
Carnegie,1600000,-0.6
Caroline Springs,738800,-1.2
Carrum,1125000,8.4
Carrum Downs,710000,3.3
Casterton,290000,-17.1
Castlemaine,720000,-1.7
Caulfield,2250000,16
Caulfield North,2585000,-2.1
Caulfield South,1872500,4.6
Chadstone,1220000,3.8
Charlemont,599000,-2.6
Charlton,275000,-0.9
Chelsea,1100000,0
Chelsea Heights,895500,3.8
Cheltenham,1324500,5.1
Cheltenham East,1165000,1.3
Cheltenham North,946500,-19.9
Chiltern,412500,3.1
Chirnside Park,882000,-0.3
Churchill,345000,-5.7
Clarinda,995000,3.4
Clayton,1155000,-2.5
Clayton North,1186300,-8.8
Clayton South,943500,-2.7
Clifton Hill,1757500,17.2
Clifton Springs,647500,-7
Clunes,575000,-11.5
Clyde,691500,1.7
Clyde North,722000,3.1
Cobblebank,610000,-3.9
Cobden,380000,-16.5
Cobram,492500,23.1
Coburg,1283000,7.9
Coburg East,1220000,21.7
Coburg North,1109000,20.5
Cockatoo,770000,14.9
Cohuna,350000,37.3
Colac,490000,-2
Coldstream,770000,4.4
Coleraine,180000,-28
Collingwood,1087500,-10.9
Connewarre,2300000,19.5
Coolaroo,542500,-5.7
Coonans Hill,1150000,1.3
Corinella,860000,45.8
Corio,484800,-7.4
Coronet Bay,494000,-29.2
Corryong,320000,-5.6
Cowes,784000,1.8
Cowes West,766300,-9.9
Craigieburn,650000,2.8
Cranbourne,662000,4.9
Cranbourne East,710000,-0.4
Cranbourne North,697500,-0.4
Cranbourne South,650000,-19.8
Cranbourne West,670000,-0.7
Cremorne,1166500,-14.6
Creswick,524500,0.9
Crib Point,715000,4.4
Croydon,950000,8
Croydon Hills,1196000,4.8
Croydon North,1000000,-8.3
Croydon South,911500,7.1
Curlewis,760000,13.4
Dallas,525000,6.9
Dalyston,481500,-12.3
Dandenong,696500,2.4
Dandenong North,750000,8.7
Darley,681000,-12.1
Daylesford,869000,-1.8
Deanside,670000,3.6
Deepdene,2750000,-7.4
Deer Park,621000,1.4
Delacombe,539500,0.8
Delahey,682000,1
Dennington,645500,4.5
Derrimut,740000,-3.9
Diamond Creek,1005000,5.8
Diggers Rest,652500,-1.2
Dimboola,260000,5.3
Dingley Village,1069500,2.4
Donald,158000,-34.2
Doncaster,1505000,3.8
Doncaster East,1610000,5.5
Donnybrook,645000,-1.4
Donvale,1535000,10.8
Doreen,730000,1.3
Doveton,617500,1.6
Dromana,1017500,-8.7
Drouin,602000,0.8
Drysdale,827500,11.4
Dunolly,485000,39
Eagle Point,438000,-24.4
Eaglehawk,432500,-18.4
Eaglemont,2200000,-8.3
East Bairnsdale,325000,-26.1
East Bendigo,450000,-26.8
East Geelong,762500,-7
East Melbourne,3750000,67.8
East Warburton,532000,-14.9
Eastwood,560800,-9.6
Echuca,586000,12.2
Edenhope,205000,-10.9
Edithvale,1345000,6.5
Eildon,520000,9.5
Elliminyt,675000,-0.7
Elmore,349000,-20.2
Elsternwick,1930000,-11.3
Eltham,1239800,2
Eltham North,1264500,13.1
Elwood,1900000,-20
Emerald,750000,-12
Endeavour Hills,805000,5.9
Epping,669000,-0.3
Epsom,588800,-1.9
Essendon,1675000,-3.7
Essendon North,1645000,33.4
Essendon West,1160000,-4.3
Eumemmerring,645000,8.4
Eureka,525000,-3.3
Euroa,507500,12.8
Eynesbury,690000,-0.7
Fairfield,1685000,1.4
Fawkner,800000,5.3
Ferntree Gully,886000,0.3
Ferny Creek,1037300,-11.6
Fitzroy,1555000,6.5
Fitzroy North,1885000,19.7
Fiveways,670000,4.7
Flemington,1014500,0.4
Flinders,3624000,10.1
Flora Hill,496000,-3.7
Footscray,925500,-12.1
Forest Hill,1325000,10.9
Foster,750000,21
Frankston,745000,4.9
Frankston North,577500,-3.4
Frankston South,1217500,4.1
Fraser Rise,705000,0.7
Fyansford,780000,-18.3
Garden City,1798300,4.2
Garfield,575000,-34.1
Geelong,1000000,-2
Geelong West,940000,-3.5
Gembrook,777500,-10.1
Gisborne,1012500,6
Gladstone Park,740000,5.7
Glen Huntly,1735500,-11
Glen Iris,2462000,2.2
Glen Waverley,1620000,8.9
Glengarry,790000,42.5
Glenroy,825000,6.5
Golden Point (Ballarat),580000,13.7
Golden Square,505000,-2.4
Gordon,707500,-4.1
Goughs Bay,647500,0
Gowanbrae,920000,-1.9
Grantville,562500,-12
Green Lake,400000,-19
Greensborough,1080000,10.4
Greenvale,870000,2
Grovedale,650000,-7.8
Gunbower,500000,81.2
Hadfield,850000,2.4
Hallam,740000,5.7
Halls Gap,470000,-27.4
Hamilton,369500,6.2
Hamlyn Heights,740000,5.7
Hampton,2490000,8.3
Hampton East,1452500,0.9
Hampton Park,650000,0.8
Harcourt,700000,
Harkness,550000,-5.2
Hastings,690000,-3.5
Hastings West,620000,-5.7
Hawthorn,3089400,11.7
Hawthorn East,2459000,9.8
Healesville,758000,-4.3
Heathcote,550000,0
Heatherton,1200000,9.2
Heathmont,940000,-17.3
Heidelberg,1429000,13
Heidelberg Heights,1060000,6
Heidelberg West,760000,1
Hepburn,600000,-3.2
Herne Hill,732000,-7.3
Heyfield,452500,19.1
Heywood,345000,-12.7
Highett,1455000,2.8
Highton,911000,5.4
Hillside (Melton),785000,-1.9
Hopetoun,174900,-10.1
Hoppers Crossing,615500,2.6
Horsham,371800,-14.5
Hughesdale,1422000,-8
Huntingdale,1175000,5.8
Huntly,550000,-1.2
Hurstbridge,935000,1.9
Indented Head,792500,-29.2
Inglewood,340000,-32
Inverloch,967300,-5.6
Invermay Park,692500,22.6
Ironbark,547500,31.9
Irymple,515200,12
Ivanhoe,1673000,11.5
Ivanhoe East,1881000,3.3
Jacana,568800,4.4
Jackass Flat,521500,0.8
Jamieson,575000,
Jan Juc,1287500,-13.6
Jeeralang North,518000,43.9
Junction Village,650000,4.8
Junortoun,832500,-8.2
Kalimna,435000,-18.7
Kalkallo,630000,-2.1
Kallista,780000,-18.5
Kalorama,825000,-24.3
Kangaroo Flat,504000,-5.4
Kangaroo Ground South,1100000,-5.3
Kaniva,188000,-11.5
Kealba,645000,-7.2
Keilor,1260000,24.8
Keilor Downs,806000,11
Keilor East,1002000,7.7
Keilor Lodge,986000,-5.4
Keilor Park,807000,-0.8
Kennington,610000,4.7
Kensington,995000,-13.5
Kerang,310000,1.6
Kew,2521000,-13.5
Kew East,2100200,3.5
Kew North,2350000,13.8
Keysborough,929500,6.8
Kialla,660000,5.6
Killara (Wodonga),652500,9.7
Kilmore,600000,3.9
Kilsyth,827500,-0.5
Kilsyth South,1020000,8.8
Kinglake,761000,-1.3
Kings Park,600000,-0.8
Kingsbury,810000,1
Kingsville,1262000,15.5
Knoxfield,1058500,10.3
Koo Wee Rup,715000,13
Koondrook,545000,21.1
Koroit,595000,-5.4
Korumburra,585000,23.2
Kurunjang,535000,2.9
Kyabram,457500,13
Kyneton,752500,-22.8
Lake Boga,468000,12.8
Lake Gardens,705000,4.4
Lake Tyers Beach,525000,-35.3
Lake Wendouree,1112500,-29.4
Lakes Entrance,483000,0.6
Lalor,700000,6.9
Lancefield,615000,-7.5
Lang Lang,691300,-3.7
Langwarrin,840000,5.7
Lara,692000,-1.1
Lara Lake,750000,9.5
Launching Place,650000,-12.6
Laverton,620000,10.2
Laverton South,752000,-0.2
Leneva,647500,0.8
Leongatha,585000,5.2
Leopold,700000,-1.1
Lilydale,1022500,19.6
Lindenow,380000,-18.6
Loch Sport,349000,-3.6
Lockington,285000,
Long Gully,455000,2.5
Longwarry,572500,0.9
Lorne,4000000,65.8
Lovely Banks,690000,-3.5
Lower Plenty,1260000,-23.2
Lucas,648800,-7
Lucknow,470000,-8.7
Lynbrook,767500,-5.6
Lyndhurst,965000,0.5
Lysterfield,1262600,-5.1
Lysterfield South,1405000,-16.9
Macedon,1000000,-23
Macleod,1150000,9.5
Maddingley,620000,-4.6
Maffra,415000,16.9
Maiden Gully,830000,12.9
Maidstone,824500,-1.8
Maldon,747500,-4.5
Mallacoota,210000,-61.5
Malmsbury,965000,22.9
Malvern,2317500,-15.7
Malvern East,2330000,-3.3
Mambourin,640000,2.8
Manifold Heights,928500,-24.9
Manor Lakes,660000,6.5
Mansfield,900000,13.6
Maribyrnong,1100000,-13.7
Marong,610000,4.4
Marshall,550000,-17.5
Maryborough,372500,-6.9
McCrae,1287500,-12.6
McKenzie Hill,715000,-22.7
McKinnon,2130000,18
Meadow Heights,570000,4.1
Melton,489400,4.1
Melton South,498000,1.6
Melton West,520000,1
Mentone,1432500,-1.5
Merbein,295000,-10.6
Meredith,540000,
Merinda Park,645000,9.3
Mernda,683000,1.6
Merrigum,282500,8.7
Metung,857500,71.5
Mickleham,680000,-2.9
Middle Park,2405000,10.6
Mildura,451500,5
Mill Park,780400,4.2
Millgrove,581500,-1.4
Miners Rest,572500,-2.1
Minyip,92000,-42.5
Mirboo North,542500,20.6
Mitcham,1220000,1.7
Moe,367000,0.5
Monbulk,835000,11.9
Mont Albert,2930000,48
Mont Albert North,1732500,16.3
Montmorency,1070000,1.9
Montrose,878500,-1.3
Moonee Ponds,1620000,3.7
Moorabbin,1320000,2.3
Mooroolbark,828800,3.5
Mooroopna,347000,-11
Mordialloc,1207400,-12.2
Mornington,1130000,2.7
Mortlake,300000,3.4
Morwell,342500,2.2
Mount Beauty,531500,
Mount Clear,480000,-3
Mount Cottrell,615000,
Mount Dandenong,1007500,6.9
Mount Duneed,737500,1
Mount Eliza,1707500,1.9
Mount Evelyn,830000,4.4
Mount Helen,555000,-18.4
Mount Martha,1700000,28.8
Mount Pleasant,470000,-1.1
Mount Waverley,1550000,6.5
Mulgrave,1077000,0.6
Murchison,275000,-36.8
Murrumbeena,1637500,2.4
Murtoa,331000,
Myrtleford,550000,-5.8
Nagambie,627500,-4.2
Nar Nar Goon,776300,-5.9
Narre Warren,720000,0
Narre Warren North,1725000,4.2
Narre Warren South,870000,13
Nathalia,390000,-7.7
Neerim South,555000,
Nerrina,665000,-23.8
New Gisborne,745000,-15.3
Newborough,450000,9.2
Newcomb,597300,2.1
Newington,690000,3.8
Newlands Arm,675000,0
Newport,1200000,-5.5
Newtown (Greater Geelong),1338800,13.9
Nhill,199000,-24.6
Nichols Point,517500,-36.5
Niddrie,1187500,3
Noble Park,755000,4.9
Noble Park North,758300,-6.4
Norlane,452500,0.6
North Bendigo,530000,3.7
North Geelong,616300,-12.6
North Melbourne,1110000,-19
North Wonthaggi,558000,-17.3
Northcote,1625000,-3.4
Notting Hill,1144000,8.1
Numurkah,367500,14.8
Nunawading,1238000,13.6
Oak Park,1245300,29.5
Oakleigh,1320000,0.1
Oakleigh East,1095000,-0.7
Oakleigh South,1233000,18.4
Ocean Grove,960000,-13.7
Officer,747500,9.3
Officer South,809500,-8.3
Olinda,996000,22.2
Orbost,325000,-1.1
Ormond,1840500,-0.5
Osborne,1035000,-10
Ouyen,208500,-14.9
Pakenham,650000,1.6
Paradise Beach,375000,36.4
Park Orchards,1760000,1.4
Parkdale,1381000,1.7
Parkville,3610000,70.3
Pascoe Vale,965000,-5.2
Pascoe Vale South,1105000,-7.5
Patterson Gardens,1237500,-3.9
Patterson Lakes,1558800,-8.3
Paynesville,490000,-8.4
Pearcedale,745000,-9.1
Penshurst,190000,-17.4
Plenty,1765000,12.1
Point Cook,770000,-2.5
Point Lonsdale,1220000,-20.7
Porepunkah,995000,5.6
Port Albert,490000,-8.4
Port Fairy,875000,-3
Port Melbourne,1850000,17.5
Portarlington,1000000,9.9
Portland,451300,2.6
Portsea,2850000,-32.1
Prahran,2107500,20.9
Preston,1182500,8.5
Princes Hill,2025000,-16.8
Pyramid Hill,270000,-10
Quarry Hill,601000,-25.8
Queenscliff,1565000,1
Rainbow,240000,42
Rawson,330000,
Raymond Island,525000,14.1
Red Cliffs,337500,2.3
Red Hill,1705000,-11.7
Redan,540000,4.9
Research,1342500,-8
Reservoir,877500,-4.8
Rhyll,765000,-14.9
Richmond,1300000,-7.8
Riddells Creek,940000,11.9
Ringwood,1000000,5.8
Ringwood East,970500,-0.5
Ringwood North,1320000,12.4
Rippleside,1110000,-6.7
Robinvale,385000,22.2
Rochester,270000,-6.9
Rockbank,595000,-4.4
Romsey,770000,-4.8
Rosanna,1320000,27.8
Rosebud,715000,-4.5
Rosebud South,966000,13.3
Rosedale,520000,48.6
Rowville,1098000,4.6
Roxburgh Park,642500,1
Rushworth,369000,8.5
Rutherglen,490000,-2
Rye,1121000,2.3
Safety Beach,1285000,11.7
Sailors Gully,465000,-23.5
Sale,517000,2.9
San Remo,890000,-17.6
Sanctuary Lakes,746000,1.5
Sandhurst,1085500,5.4
Sandringham,2227500,-6.5
Sandy Point,815000,-0.6
Sassafras,860000,
Scoresby,990000,2.1
Sea Lake,258500,30.9
Seabrook,735000,1.4
Seaford,860000,3.6
Seaholme,1537500,51.9
Seaspray,346500,-35.2
Sebastopol,448000,-5.9
Seddon,1050000,-10.9
Selby,480000,-37.6
Seville,817500,4
Seymour,480000,7.3
Shepparton,451400,5.7
Shepparton North,665500,5.1
Shoreham,2262500,23.8
Skye,747800,-2.4
Smiths Beach,840000,-27.3
Smythes Creek,600000,-3.2
Smythesdale,750000,36.4
Soldiers Hill,537500,-26.4
Somers,1510000,6.5
Somerville,802500,1.7
Sorrento,2100000,-4.1
South Geelong,902500,-23
South Kingsville,817000,-29.4
South Melbourne,1695000,-16.7
South Morang,760000,2.8
South Yarra,2388000,8.5
Spotswood,1130000,-2.2
Spring Gully,797500,30.7
Springvale,893000,0.9
Springvale South,800000,-1.2
St Albans,646000,-2.1
St Albans Park,577500,-15.4
St Andrews Beach,1795000,15.8
St Arnaud,285200,-12.2
St Helena,1200000,1.7
St Kilda,1600000,-15.8
St Kilda East,1576000,8.8
St Kilda West,2300000,-20.7
St Leonards,750000,0
Stanhope,385000,77.4
Stawell,289000,-23.9
Stratford,475000,-9.5
Strathdale,635000,-0.8
Strathfieldsaye,675000,1.1
Strathmerton,432500,
Strathmore,1360000,-15.3
Strathmore Heights,940000,-9.4
Strathtulloh,610000,2.5
Studfield,1012500,4.1
Sunbury,647800,-2.6
Sunderland Bay,685000,4.6
Sunnycliffs,325000,26.7
Sunset Strip,700000,7.7
Sunshine,800000,-7.1
Sunshine North,751500,0.8
Sunshine West,723000,3.3
Surf Beach,817500,-9.9
Surrey Hills,2353000,-0.5
Swan Hill,438800,13.5
Sydenham,751500,8.3
Syndal,1725000,-21.4
Tallangatta,509500,13.9
Tangambalanga,649500,-9
Tarneit,650000,1.6
Tatura,447500,-1.6
Tawonga South,383100,-40.7
Taylors Hill,941000,0.8
Taylors Lakes,933800,-0.3
Tecoma,826000,2
Templestowe,1675500,14
Templestowe Lower,1371000,8
Terang,330000,-14.3
The Basin,853000,3.4
Thomastown,692000,5.5
Thomson (Greater Geelong),525000,-5.8
Thornbury,1393500,-3.9
Thornhill Park,606500,5.5
Timboon,425000,-3.4
Tongala,470000,34.5
Toora,540000,25.6
Tooradin,947500,-8.1
Toorak,4815000,-22.5
Tootgarook,945000,15.7
Torquay,1206000,-5
Trafalgar,550000,-3.1
Traralgon,515000,7.3
Traralgon East,727500,-0.8
Trentham,1060000,-11.5
Truganina,645000,-0.8
Tullamarine,730000,3.5
Tyabb,825000,10.7
Upper Ferntree Gully,890000,8
Upwey,947500,9.5
Ventnor,771000,-7.1
Venus Bay,600000,2.1
Vermont,1205000,-2.2
Vermont South,1533000,12.9
Viewbank,1220000,13
Violet Town,499500,28.9
Wahgunyah,310000,-44.9
Wallan,620000,0
Wallan East,605000,0.8
Wandana Heights,1090000,-0.9
Wandin North,765000,-4.4
Wangaratta,525000,1.4
Wantirna,1180000,5.4
Wantirna South,1355000,20.3
Warburton,616300,-12.4
Warracknabeal,218500,-6
Warragul,651300,1.4
Warrandyte,1180000,-2.9
Warranwood,1270000,-18.6
Warrnambool,615000,-2.4
Waterways,1680000,47.4
Watsonia,963500,19
Watsonia North,920300,7.9
Wattle Glen,877500,-6.5
Waurn Ponds,837500,0.5
Wedderburn,305000,-34.4
Weir Views,575000,-5.7
Wendouree,452500,-5.7
Wendouree West,377500,3.9
Werribee,611000,1.8
Werribee South,955000,-1
West Footscray,905000,-4.5
West Melbourne,1215000,-11
West Wodonga,515000,-1.4
Westall,853300,-2.5
Westgarth,1670000,-6
Westmeadows,700000,5.3
Wheelers Hill,1595000,10
White Hills,547000,8.6
Whittington,500000,-2
Whittlesea,710500,0.8
Williams Landing,740000,-4.8
Williamstown,1600000,-13.4
Williamstown North,1000000,-16.5
Wimbledon Heights,650000,
Winchelsea,670000,7.2
Windsor,1500000,2.4
Winter Valley,581500,-7.7
Wodonga,560000,8.9
Wollert,705000,-3.4
Wonga Park,1271000,-22.5
Wonthaggi,520000,-3.7
Woodend,1085000,26.9
Woolamai Waters,715000,-10.6
Woori Yallock,704200,15.4
Wy Yung,607500,32.2
Wyndham Vale,600000,5.3
Yackandandah,770000,21.6
Yallambie,1066000,19.9
Yallourn North,310000,-12.7
Yarra Glen,800000,2.6
Yarra Junction,685000,5.8
Yarragon,649000,18
Yarram,347500,-24.7
Yarraville,1085000,3.3
Yarrawonga,672500,8.6
Yea,507500,-23.1
Yinnar,560000,9.8
